#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,7.492759098349548,usage_user,cpu,cpu-total,phoenix
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,6.301197227473914,usage_user,cpu,cpu-total,phoenix
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,6.10916374561707,usage_user,cpu,cpu-total,phoenix
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,7.412991581856885,usage_user,cpu,cpu-total,phoenix
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,5.9922276545072215,usage_user,cpu,cpu-total,phoenix
,,9,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,10.713385429796286,usage_user,cpu,cpu-total,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest,cpu,cpu0,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest,cpu,cpu0,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest,cpu,cpu0,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest,cpu,cpu0,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest,cpu,cpu0,phoenix
,,10,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,88.810483870964,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,91.36178861786412,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,89.14572864323588,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,89.30373360240843,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,89.9899899899916,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,83.5532994923937,usage_idle,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0.20161290322587114,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0.30487804878049485,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0.20100502512557344,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0.3027245206861915,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0.2030456852791774,usage_iowait,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_irq,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0.7056451612901551,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0.9146341463414485,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,1.2060301507536906,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0.9081735620585386,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,1.0010010010008548,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,1.6243654822337439,usage_nice,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0.10010010010006415,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0.10152284263962477,usage_softirq,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_steal,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,2.6209677419354653,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,2.439024390243381,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,2.9145728643216007,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,3.1281533804238832,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,3.2032032032026216,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,3.045685279188383,usage_system,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,7.6612903225790925,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,4.979674796747986,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,6.532663316581066,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,6.357214934410882,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,5.705705705704154,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,11.472081218276914,usage_user,cpu,cpu0,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,87.09677419355104,usage_idle,cpu,cpu1,phoenix
