#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,10,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_guest,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,11,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_guest_nice,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,89.14572864323588,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,89.30373360240843,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,89.9899899899916,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,83.5532994923937,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,77.34693877549664,usage_idle,cpu,cpu0,phoenix
,,12,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,94.2148760330799,usage_idle,cpu,cpu0,phoenix
